City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.23,91,100,12.32,TF,1686589919
1,waitangi,-43.9535,-176.5597,9.34,77,100,9.19,NZ,1686589726
2,whitehorse,60.7161,-135.0538,13.9,53,66,4.47,CA,1686589758
3,praia da vitoria,38.7333,-27.0667,21.14,100,75,5.21,PT,1686589920
4,pacora,9.0833,-79.2833,33.45,66,40,2.57,PA,1686589920
5,nemuro,43.3236,145.575,10.83,99,94,3.31,JP,1686589920
6,port mathurin,-19.6833,63.4167,24.89,70,8,8.46,MU,1686589920
7,wangqing,43.3218,129.7634,12.29,96,31,0.53,CN,1686589921
8,isafjordur,66.0755,-23.124,13.02,54,20,6.69,IS,1686589921
9,jamestown,42.097,-79.2353,17.8,78,100,4.92,US,1686589768
10,mobaye,4.319,21.1786,23.27,93,70,0.66,CF,1686589921
11,longyearbyen,78.2186,15.6401,2.91,75,75,4.12,SJ,1686589921
12,ushuaia,-54.8,-68.3,6.79,81,40,18.01,AR,1686589922
13,ouadda,8.0777,22.4007,23.22,85,81,1.95,CF,1686589922
14,sunland park,31.7965,-106.58,29.25,16,0,6.17,US,1686589922
15,deschutes river woods,43.9915,-121.3584,23.78,53,0,2.68,US,1686589922
16,talnakh,69.4865,88.3972,7.34,96,100,3.91,RU,1686589922
17,kogalym,62.2654,74.4791,5.56,86,100,6.36,RU,1686589692
18,soio,-6.1349,12.3689,23.64,85,49,4.09,AO,1686589923
19,ladario,-19.0047,-57.6017,14.16,82,100,5.14,BR,1686589923
20,edinburgh of the seven seas,-37.0676,-12.3116,17.21,85,100,18.41,SH,1686589923
21,adamstown,-25.066,-130.1015,20.14,63,31,3.45,PN,1686589924
22,khandyga,62.6667,135.6,9.52,57,100,2.33,RU,1686589924
23,tofol,5.3248,163.0078,28.79,75,100,7.78,FM,1686589924
24,parasia,22.2,78.7667,29.51,46,73,3.62,IN,1686589925
25,grytviken,-54.2811,-36.5092,-3.12,88,94,3.38,GS,1686589925
26,tindouf,27.6711,-8.1474,34.25,21,0,10.29,DZ,1686589925
27,anadyr,64.75,177.4833,6.28,81,20,5.0,RU,1686589925
28,princeville,45.7668,-61.2985,25.92,58,0,7.72,CA,1686589926
29,kenai,60.5544,-151.2583,8.41,85,100,2.06,US,1686589926
30,yellowknife,62.456,-114.3525,5.31,75,87,4.47,CA,1686589835
31,bethel,41.3712,-73.414,25.36,69,75,5.14,US,1686589926
32,albany,42.6001,-73.9662,27.57,65,100,3.13,US,1686589926
33,nabire,-3.3667,135.4833,24.54,95,100,1.21,ID,1686589927
34,rio grande,-32.035,-52.0986,13.06,49,1,6.46,BR,1686589901
35,st. john's,47.5649,-52.7093,9.32,89,100,1.79,CA,1686589867
36,la'ie,21.6477,-157.9253,26.98,84,34,2.68,US,1686589927
37,sitka,57.0531,-135.33,10.94,71,75,2.57,US,1686589776
38,sungailiat,-1.85,106.1333,26.92,87,57,4.06,ID,1686589928
39,margaret river,-33.95,115.0667,14.54,81,42,6.37,AU,1686589928
40,saipan,15.1355,145.701,28.39,100,40,5.14,MP,1686589928
41,vorkuta,67.5,64.0,5.85,48,72,4.76,RU,1686589928
42,la passe,45.5549,-0.8967,21.1,85,100,3.36,FR,1686589929
43,klyuchi,52.2667,79.1667,18.86,66,60,3.35,RU,1686589929
44,crane,31.3974,-102.3501,33.62,22,0,6.69,US,1686589929
45,mikuni,36.2171,136.1519,19.63,94,97,1.54,JP,1686589929
46,bredasdorp,-34.5322,20.0403,12.13,76,87,7.3,ZA,1686589929
47,salinopolis,-0.6136,-47.3561,28.04,82,13,5.38,BR,1686589930
48,tura,25.5198,90.2201,24.33,92,14,2.59,IN,1686589930
49,ribeira grande,38.5167,-28.7,20.43,94,75,5.14,PT,1686589930
50,bilibino,68.0546,166.4372,10.92,94,100,1.73,RU,1686589930
51,morant bay,17.8815,-76.4093,33.17,71,12,6.06,JM,1686589931
52,puerto colombia,10.9878,-74.9547,32.05,75,10,4.75,CO,1686589931
53,cabo san lucas,22.8909,-109.9124,33.61,25,0,2.57,MX,1686589931
54,staraya russa,57.9944,31.3608,17.85,54,27,1.87,RU,1686589931
55,susuman,62.7833,148.1667,15.21,67,100,2.05,RU,1686589931
56,tinogasta,-28.0632,-67.5649,9.57,35,22,3.03,AR,1686589932
57,al jumum,21.6169,39.6981,34.55,20,2,4.94,SA,1686589756
58,iskateley,67.6803,53.1512,14.59,58,100,6.57,RU,1686589932
59,constitucion,-35.3333,-72.4167,10.89,51,1,3.16,CL,1686589932
60,hasaki,35.7333,140.8333,20.68,96,92,4.22,JP,1686589634
61,mount pearl,47.5166,-52.7813,8.86,88,100,6.69,CA,1686589933
62,invercargill,-46.4,168.35,9.99,90,94,3.09,NZ,1686589826
63,peniche,39.3558,-9.3811,24.49,88,71,6.06,PT,1686589933
64,puerto natales,-51.7236,-72.4875,9.25,46,40,2.06,CL,1686589933
65,lompoc,34.6391,-120.4579,18.77,82,100,0.45,US,1686589934
66,dudinka,69.4058,86.1778,7.57,75,66,5.52,RU,1686589934
67,san luis de la loma,17.2706,-100.8939,32.45,54,56,3.55,MX,1686589934
68,kokpekty,48.75,82.4,14.58,66,3,4.49,KZ,1686589934
69,tiksi,71.6872,128.8694,0.7,93,71,2.27,RU,1686589649
70,aasiaat,68.7098,-52.8699,1.07,77,27,13.94,GL,1686589935
71,coronel dorrego,-38.7187,-61.2873,10.0,46,23,6.93,AR,1686589935
72,santanyi,39.3546,3.1291,28.79,65,100,4.48,ES,1686589935
73,tazacorte,28.629,-17.9293,23.54,73,75,4.12,ES,1686589935
74,iqaluit,63.7506,-68.5145,1.85,69,75,7.15,CA,1686589935
75,enoch,37.7733,-113.0244,19.14,37,0,6.69,US,1686589861
76,cambridge,43.3601,-80.3127,17.31,96,100,4.12,CA,1686589812
77,stanley,54.868,-1.6985,23.19,66,0,4.12,GB,1686589870
78,talcahuano,-36.7167,-73.1167,10.82,58,0,6.17,CL,1686589936
79,fort bragg,35.139,-79.006,30.11,62,75,5.66,US,1686589937
80,fuyang,32.9,115.8167,24.85,53,100,3.3,CN,1686589937
81,al jubayl,27.0112,49.6583,34.25,43,0,1.77,SA,1686589937
82,porto novo,6.4965,2.6036,27.74,67,36,3.98,BJ,1686589937
83,chitipa,-9.7024,33.2697,18.83,68,83,2.2,MW,1686589938
84,vernon,50.2581,-119.2691,27.01,43,0,0.62,CA,1686589697
85,yemel'yanovo,56.1681,92.6767,13.45,67,0,3.0,RU,1686589938
86,udachny,66.4167,112.4,8.03,48,50,3.44,RU,1686589938
87,kodiak,57.79,-152.4072,8.73,66,20,3.09,US,1686589938
88,kroya,-7.6331,109.2461,24.91,90,92,2.52,ID,1686589939
89,novodvinsk,64.4165,40.8122,17.75,44,79,2.75,RU,1686589939
90,skelleftea,64.7507,20.9528,23.33,52,0,6.17,SE,1686589940
91,siem reap,13.5,104.0,26.86,83,94,3.12,KH,1686589940
92,blackmans bay,-43.0167,147.3167,8.07,83,90,3.11,AU,1686589940
93,inhambane,-23.865,35.3833,22.39,79,0,6.68,MZ,1686589941
94,kidal,18.4411,1.4078,39.91,19,15,5.01,ML,1686589941
95,afaahiti,-17.75,-149.2833,21.93,77,85,8.4,PF,1686589941
96,barnard castle,54.5415,-1.919,24.18,63,15,3.91,GB,1686589941
97,diego de almagro,-26.3667,-70.05,16.52,42,3,4.08,CL,1686589942
98,gebeit,21.0667,36.3167,31.28,24,9,6.04,SD,1686589942
99,chipinge,-20.1883,32.6236,17.32,41,11,2.11,ZW,1686589942
100,palapye,-22.546,27.1251,21.3,31,88,3.68,BW,1686589943
101,sandnessjoen,66.0217,12.6316,13.29,89,75,5.66,NO,1686589943
102,karratha,-20.7377,116.8463,20.38,37,0,2.1,AU,1686589943
103,avanigadda,16.0215,80.9181,33.92,51,84,3.39,IN,1686589943
104,bollnas,61.3482,16.3946,25.63,20,78,3.19,SE,1686589944
105,arraial do cabo,-22.9661,-42.0278,24.92,83,0,5.66,BR,1686589745
106,kulhudhuffushi,6.6221,73.07,28.86,78,100,7.55,MV,1686589944
107,atafu village,-8.5421,-172.5159,28.29,76,24,6.02,TK,1686589944
108,hamilton,39.1834,-84.5333,19.93,80,75,5.14,US,1686589523
109,puerto ayora,-0.7393,-90.3518,30.98,86,99,4.02,EC,1686589945
110,kingston,17.997,-76.7936,32.91,59,5,3.13,JM,1686589725
111,carnarvon,-24.8667,113.6333,16.38,44,0,7.8,AU,1686589945
